Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 16:05:00+00:00
Name: 142, dtype: object",AAPL,"Ticker
AAPL    196.333405
Name: 141, dtype: object","Ticker
AAPL    196.979996
Name: 142, dtype: object","Ticker
AAPL    0.646591
dtype: object"
"Ticker
    2025-04-17 16:07:00+00:00
Name: 144, dtype: object",AAPL,"Ticker
AAPL    196.863495
Name: 143, dtype: object","Ticker
AAPL    197.384995
Name: 144, dtype: object","Ticker
AAPL    0.5215
dtype: object"
"Ticker
    2025-04-17 16:08:00+00:00
Name: 145, dtype: object",AAPL,"Ticker
AAPL    197.384995
Name: 144, dtype: object","Ticker
AAPL    197.690002
Name: 145, dtype: object","Ticker
AAPL    0.305008
dtype: object"
"Ticker
    2025-04-17 16:11:00+00:00
Name: 148, dtype: object",AAPL,"Ticker
AAPL    197.259995
Name: 147, dtype: object","Ticker
AAPL    197.425003
Name: 148, dtype: object","Ticker
AAPL    0.165009
dtype: object"
"Ticker
    2025-04-17 16:13:00+00:00
Name: 150, dtype: object",AAPL,"Ticker
AAPL    196.830002
Name: 149, dtype: object","Ticker
AAPL    197.037506
Name: 150, dtype: object","Ticker
AAPL    0.207504
dtype: object"
"Ticker
    2025-04-17 16:14:00+00:00
Name: 151, dtype: object",AAPL,"Ticker
AAPL    197.037506
Name: 150, dtype: object","Ticker
AAPL    197.589996
Name: 151, dtype: object","Ticker
AAPL    0.55249
dtype: object"
"Ticker
    2025-04-17 16:16:00+00:00
Name: 153, dtype: object",AAPL,"Ticker
AAPL    197.445007
Name: 152, dtype: object","Ticker
AAPL    197.759995
Name: 153, dtype: object","Ticker
AAPL    0.314987
dtype: object"
"Ticker
    2025-04-17 16:18:00+00:00
Name: 155, dtype: object",AAPL,"Ticker
AAPL    197.445007
Name: 154, dtype: object","Ticker
AAPL    197.470001
Name: 155, dtype: object","Ticker
AAPL    0.024994
dtype: object"
"Ticker
    2025-04-17 16:19:00+00:00
Name: 156, dtype: object",AAPL,"Ticker
AAPL    197.470001
Name: 155, dtype: object","Ticker
AAPL    197.910004
Name: 156, dtype: object","Ticker
AAPL    0.440002
dtype: object"
"Ticker
    2025-04-17 16:21:00+00:00
Name: 158, dtype: object",AAPL,"Ticker
AAPL    197.619995
Name: 157, dtype: object","Ticker
AAPL    197.830399
Name: 158, dtype: object","Ticker
AAPL    0.210403
dtype: object"
"Ticker
    2025-04-17 16:23:00+00:00
Name: 160, dtype: object",AAPL,"Ticker
AAPL    197.639999
Name: 159, dtype: object","Ticker
AAPL    197.839996
Name: 160, dtype: object","Ticker
AAPL    0.199997
dtype: object"
"Ticker
    2025-04-17 16:25:00+00:00
Name: 162, dtype: object",AAPL,"Ticker
AAPL    197.789993
Name: 161, dtype: object","Ticker
AAPL    197.824005
Name: 162, dtype: object","Ticker
AAPL    0.034012
dtype: object"
